City,Latitude,Longitude,Date,Temperature,Humidity,Cloudiness,Windspeed
marsh harbour,26.54,-77.06,1541281189,80.51,100,88,2.33
mogadishu,2.04,45.34,1541281189,80.96,98,0,4.9
port alfred,-33.59,26.89,1541281190,71.87,69,20,20.15
nanded,,,,,,,
bilibino,68.06,166.44,1541281190,-5.67,67,44,2.33
norman wells,65.28,-126.83,1541278800,6.8,84,20,10.29
tir pol,,,,,,,
provideniya,64.42,-173.23,1541281191,34.84,100,24,7.52
clyde river,70.47,-68.59,1541278800,8.6,78,90,11.41
ayagoz,47.96,80.43,1541281192,22.91,91,92,8.59
itoman,26.12,127.67,1541278800,77,94,75,8.05
omboue,-1.57,9.26,1541281192,79.79,100,88,9.42
lagoa da prata,-20.02,-45.54,1541281193,79.97,60,48,6.85
portland,45.52,-122.67,1541274960,59,71,90,5.82
guerrero negro,27.97,-114.04,1541281193,81.14,41,32,7.29
san patricio,-26.98,-56.83,1541281194,70.61,100,100,2.77
narsaq,60.91,-46.05,1541278200,24.8,62,0,3.36
atar,20.52,-13.05,1541281194,66.11,44,8,7.36
piacabucu,-10.41,-36.43,1541281195,79.97,68,0,13.85
paralimni,40.99,23.67,1541281195,46.54,89,12,2.21
atuona,-9.8,-139.03,1541281195,80.29,100,0,12.77
along,28.17,94.8,1541281196,55.81,99,92,1.54
severo-kurilsk,50.68,156.12,1541281196,41.14,100,64,7.81
plerin,48.54,-2.78,1541278800,48.2,81,0,9.17
port elizabeth,39.31,-74.98,1541278560,59,47,1,14.99
dikson,73.51,80.55,1541281197,22.91,93,12,18.66
kodiak,39.95,-94.76,1541278380,59,55,20,10.29
srednekolymsk,67.46,153.71,1541281197,-4.41,79,80,4.56
tasiilaq,65.61,-37.64,1541278200,21.2,48,0,5.82
beira,43.2,-8.36,1541278800,55.4,93,75,5.82
naze,5.43,7.07,1541275200,75.2,94,20,7.36
stromness,42.87,-79.55,1541279700,44.96,72,90,19.46
angoram,-4.06,144.07,1541281199,76.6,95,24,2.89
auki,12.18,6.51,1541281199,69.89,55,24,2.89
buchanan,5.88,-10.05,1541278800,78.8,94,40,7.63
eureka,40.8,-124.16,1541278800,59,82,1,9.17
fez,34.03,-5.02,1541278800,53.6,93,0,5.82
urengoy,65.96,78.37,1541281200,15.4,86,56,18.14
glace bay,46.2,-59.96,1541278800,62.6,93,90,23.04
richards bay,-28.77,32.06,1541281201,62.83,80,0,11.61
baruun-urt,46.68,113.28,1541281201,3.29,58,0,4.61
laytown,53.68,-6.24,1541278800,53.6,76,75,10.29
ponta do sol,-20.63,-46,1541281202,70.75,93,48,3.27
khatanga,71.98,102.47,1541281202,4.33,79,76,9.86
ribeira grande,38.52,-28.7,1541278800,68,77,40,10.29
barrow,-38.31,-60.23,1541281203,71.29,53,0,8.3
lambarene,-0.7,10.22,1541281203,72.37,100,88,2.55
torbay,47.66,-52.73,1541278800,44.6,100,90,8.05
palma del rio,37.7,-5.28,1541278800,57.2,93,36,1.12
kattivakkam,13.22,80.32,1541278800,78.8,94,40,10.31
hereford,52.06,-2.72,1541281205,51.31,89,92,20.33
bethel,60.79,-161.76,1541278380,26.96,77,75,12.75
goderich,43.74,-81.71,1541281206,41.59,91,56,16.69
sorong,-0.86,131.25,1541280938,81.46,100,36,4.79
nikolskoye,59.7,30.79,1541280600,44.6,87,20,11.18
aklavik,68.22,-135.01,1541278800,8.6,84,20,3.36
adrar,27.87,-0.29,1541278800,66.2,32,0,8.05
tanete,-3.94,119.78,1541281207,74.53,98,88,3.6
andros town,24.73,-77.79,1541278800,82.4,74,75,6.93
castro,-42.48,-73.76,1541281208,52.3,97,92,18.54
tiksi,71.64,128.87,1541281208,-3.28,75,68,9.04
new norfolk,-42.78,147.06,1541278800,55.4,58,75,10.29
edd,13.93,41.69,1541281209,71.56,48,0,3.38
hithadhoo,-0.6,73.08,1541281209,82.27,100,76,3.89
illoqqortoormiut,,,,,,,
grodzisk wielkopolski,52.23,16.36,1541278800,48.2,100,48,5.82
yongan,39.7,113.69,1541281084,38.62,99,92,3.6
guanica,17.97,-66.91,1541278200,80.6,97,1,11.41
pendleton,34.65,-82.78,1541280900,62.96,41,1,4.7
georgetown,6.8,-58.16,1541278800,82.4,83,40,4.7
grand river south east,,,,,,,
tura,25.52,90.21,1541281212,66.79,98,92,3.71
bengkulu,,,,,,,
attawapiskat,,,,,,,
rawson,-43.3,-65.11,1541281212,73.94,32,68,16.31
bredasdorp,-34.53,20.04,1541278800,60.8,63,92,2.24
ozgon,,,,,,,
klaksvik,62.23,-6.59,1541278200,48.2,93,56,21.92
dhidhdhoo,6.88,73.1,1541281214,83.35,100,88,1.99
puerto ayora,-0.74,-90.35,1541278800,82.4,58,75,10.29
sao joao da barra,-21.64,-41.05,1541278800,78.8,78,0,16.11
camacha,33.08,-16.33,1541278800,68,68,75,12.75
ternate,14.29,120.72,1541278800,80.6,94,40,2.24
nyurba,63.29,118.35,1541281215,9.73,68,44,7.4
muros,42.77,-9.06,1541278800,51.8,100,90,4.7
nelson bay,-32.72,152.14,1541278800,69.8,77,90,11.41
namikupa,-10.84,39.63,1541281216,72.77,86,0,5.91
codrington,-28.95,153.24,1541281216,71.92,82,0,5.28
coulihaut,,,,,,,
sitka,37.17,-99.65,1541281217,62.51,44,64,20.83
halifax,44.65,-63.58,1541279820,60.8,100,90,17.22
middelburg,-25.77,29.46,1541281217,53.83,73,0,5.84
yellowknife,62.45,-114.38,1541278800,14,92,90,11.41
turochak,52.26,87.12,1541281218,28.9,70,88,6.4
kaitangata,-46.28,169.85,1541281218,50.77,70,36,28.39
porto novo,-23.68,-45.44,1541278800,77,61,40,5.82
sibu,2.29,111.83,1541278800,75.2,100,90,4.7
shchelyayur,,,,,,,
porbandar,21.64,69.61,1541281219,76.46,83,0,8.03
tuatapere,-46.13,167.69,1541281220,45.86,100,92,28.66
hastings,-39.64,176.84,1541281220,61.07,77,0,29.1
nishihara,35.74,139.53,1541278800,59,76,90,4
florianopolis,-27.6,-48.55,1541278800,69.8,100,75,3.36
carnarvon,-30.97,22.13,1541281221,69.76,16,92,12.88
chuy,-33.69,-53.46,1541280978,64.72,83,0,8.03
okhotsk,59.36,143.24,1541281222,15.22,100,8,17.69
tumannyy,,,,,,,
sampit,-2.54,112.95,1541281222,72.1,97,32,5.01
haibowan,,,,,,,
marcona,,,,,,,
hasaki,35.73,140.83,1541278800,53.6,87,75,4.7
neryungri,56.66,124.71,1541281223,-9.58,62,0,3
katsuura,33.93,134.5,1541281223,50.59,98,32,3.27
port hawkesbury,45.62,-61.36,1541279400,62.6,93,90,18.34
vaitupu,,,,,,,
esterhazy,50.65,-102.08,1541281224,32.5,77,88,7.29
santa isabel,4.71,-75.1,1541278800,80.6,74,75,5.82
rawannawi,,,,,,,
olafsvik,,,,,,,
dingle,11,122.67,1541281226,76.46,94,44,10.31
monclova,26.9,-101.42,1541277600,84.2,32,5,8.05
lorengau,-2.02,147.27,1541281226,83.35,100,56,8.75
itarema,-2.92,-39.92,1541281227,82.9,63,0,18.03
rundu,-17.91,19.77,1541281227,73.81,64,68,7.4
pula,-1.95,-79.93,1541278800,84.2,62,20,10.29
millville,39.4,-75.04,1541278560,59,47,1,14.99
arlit,18.74,7.39,1541281228,70.61,23,0,5.12
calituban,10.24,124.29,1541278800,78.8,88,90,4.7
mochudi,-24.38,26.15,1541278800,69.8,49,0,9.17
butaritari,3.07,172.79,1541281229,84.11,100,0,8.41
lopsmarka,67.31,14.45,1541278200,42.8,70,75,18.34
nouadhibou,20.93,-17.03,1541278800,66.2,88,48,14.99
kavaratti,10.57,72.64,1541281230,80.51,100,76,10.94
umm kaddadah,13.6,26.69,1541281230,69.22,28,0,10.31
ahipara,-35.17,173.16,1541281231,61.97,87,68,14.12
pevek,69.7,170.27,1541281231,10.72,100,80,6.85
tuktoyaktuk,69.44,-133.03,1541278800,3.2,77,40,8.05
manica,-18.94,32.88,1541278800,62.6,100,90,11.41
tsihombe,,,,,,,
karaj,35.81,51.01,1541280600,50,34,40,2.04
amderma,,,,,,,
macas,-2.3,-78.12,1541281233,80.29,70,20,4.27
shingu,33.72,135.99,1541281233,63.59,100,76,4.23
moree,-29.46,149.84,1541281233,70.07,81,0,3.33
kefamenanu,-9.45,124.48,1541281234,62.11,94,0,1.54
shonguy,68.75,33.15,1541280600,32,100,75,2.24
mnogovershinnyy,53.94,139.92,1541281234,22.87,61,36,9.31
sagaing,21.88,95.98,1541281234,69.13,87,32,1.32
upernavik,72.79,-56.15,1541281235,21.25,100,8,10.94
tome-acu,,,,,,,
beboto,8.27,16.94,1541281235,77.86,76,24,2.26
westport,53.8,-9.52,1541281236,50.59,94,64,24.36
saint-philippe,45.36,-73.48,1541278800,41,80,90,26.4
los llanos de aridane,28.66,-17.92,1541278800,69.8,77,75,17.22
souillac,45.6,-0.6,1541278800,44.6,87,0,3
saint-joseph,43.56,6.97,1541278800,64.4,82,90,3.36
ilulissat,69.22,-51.1,1541278200,15.8,78,64,20.8
lashio,22.93,97.75,1541281238,57.16,93,0,1.88
saint-augustin,44.83,-0.61,1541278800,44.6,93,0,2.33
homer,59.64,-151.54,1541278380,42.08,72,90,9.17
lucea,18.44,-78.17,1541278800,86,66,20,19.46
karratha,-20.74,116.85,1541281240,75.92,35,0,10.38
cabo san lucas,22.89,-109.91,1541277780,82.4,54,5,13.87
ostrovnoy,68.05,39.51,1541281240,32.23,100,88,3.38
labuhan,-2.54,115.51,1541281240,70.48,97,8,1.7
airai,-8.93,125.41,1541281241,64,84,0,2.04
lompoc,34.64,-120.46,1541278680,91.04,42,1,16.11
saskylakh,71.97,114.09,1541281241,-0.27,75,56,3.38
vostok,46.45,135.83,1541281241,33.67,94,92,2.37
maracaibo,3.41,-75.78,1541278800,84.2,54,40,16.11
gushikawa,26.35,127.87,1541278800,77,90,75,10.29
san quintin,17.54,120.52,1541278800,75.2,100,75,2.24
jamestown,-33.21,138.6,1541281243,58.78,76,20,4.56
hurricane,37.18,-113.29,1541278560,69.98,21,1,5.82
kruisfontein,-34,24.73,1541281243,67.96,68,44,11.83
dwarka,28.58,77.04,1541278800,69.8,68,40,10.29
shache,38.42,77.24,1541281033,26.2,87,0,2.55
muriwai beach,-36.82,174.45,1541278800,62.6,72,0,24.16
sao filipe,14.9,-24.5,1541281244,79.12,92,0,15.97
victoria,5.28,115.24,1541278800,78.8,94,75,1.12
avarua,-21.21,-159.78,1541278800,77,69,40,21.92
san juan,-31.54,-68.53,1541281170,79.3,31,0,3.27
nalut,31.86,10.98,1541281246,51.13,81,88,3.38
katherine,-14.47,132.26,1541278800,77,78,8,3.36
balkhash,46.84,74.98,1541281247,32.27,100,92,10.83
kabompo,-13.6,24.21,1541281247,72.91,70,64,8.59
ngukurr,,,,,,,
pullman,46.73,-117.17,1541278560,55.04,66,40,12.75
grand gaube,-20.01,57.66,1541278800,71.6,83,20,4.7
mansa,23.43,72.66,1541278800,75.2,60,20,2.24
madang,-5.21,145.81,1541281249,77.5,97,32,3.38
corn island,12.17,-83.04,1541281249,81.14,100,32,15.35
ouargaye,11.5,0.06,1541281250,78.67,66,12,5.01
lata,30.78,78.62,1541281253,39.92,100,88,1.7
caldwell,43.67,-116.69,1541279700,59,43,1,8.05
waipawa,-39.94,176.59,1541281254,55.67,64,0,25.37
saldanha,41.42,-6.55,1541281254,38.62,87,0,2.82
mayumba,-3.44,10.65,1541281255,77.32,99,92,5.35
mafeteng,-29.82,27.24,1541281255,56.89,49,12,8.08
kropotkin,45.43,40.58,1541281255,45.59,79,0,9.6
pacific grove,36.62,-121.92,1541278500,82.4,58,1,3.6
vila velha,-3.71,-38.6,1541278800,82.4,74,20,12.75
sorvag,,,,,,,
kahului,20.89,-156.47,1541278560,87.08,51,20,21.92
tessalit,20.2,1.01,1541281256,74.53,27,12,9.08
rajapur,25.39,81.15,1541281257,78.71,49,80,3.27
armacao dos buzios,,,,,,,
doka,13.52,35.76,1541281257,74.21,67,24,3.89
kyren,51.68,102.13,1541281258,-6.57,50,76,2.04
solnechnyy,50.72,136.64,1541281261,21.97,68,32,5.73
yulara,-25.24,130.99,1541278800,73.4,38,8,1.12
leningradskiy,69.38,178.42,1541281262,27.64,100,80,17.81
hambantota,6.12,81.12,1541281262,76.82,100,44,5.57
srivardhan,18.03,73.02,1541281262,75.29,97,0,3.49
wajir,1.75,40.07,1541281266,77.32,75,88,6.51
bereda,43.27,-7.54,1541278800,55.4,93,75,5.82
yuzhno-yeniseyskiy,,,,,,,
huilong,28.89,110.18,1541281267,42.31,78,0,2.1
vieux-habitants,16.06,-61.77,1541278800,75.2,94,76,2.24
ancud,-41.87,-73.83,1541281267,52.97,97,92,20.6
rio gallegos,-51.62,-69.22,1541278800,64.4,53,0,26.4
wazzan,,,,,,,
bathsheba,13.22,-59.52,1541278800,82.4,78,40,17.22
ozieri,40.59,9,1541278200,62.6,88,40,3.36
arbazh,57.68,48.31,1541281269,39.29,97,92,13.56
djibo,14.1,-1.63,1541281269,80.42,31,0,7.4
balykshi,,,,,,,
tromso,69.65,18.96,1541278200,39.2,100,75,20.8
mpanda,-6.34,31.07,1541281270,63.73,100,88,1.77
saint george,39.45,22.34,1541278200,57.2,87,20,4.7
chifeng,42.27,118.96,1541281270,32.95,90,92,7.14
chernyshevskiy,63.01,112.47,1541281270,16.21,85,68,9.75
bonthe,7.53,-12.5,1541281271,78.13,94,36,1.59
sergeyevka,53.88,67.42,1541281271,30.7,91,80,9.31
menongue,-14.66,17.68,1541281272,76.96,41,92,4.9
victor harbor,-35.55,138.62,1541278800,59,67,0,3.36
axim,4.87,-2.24,1541281272,80.87,100,92,7.07
dubai,25.27,55.3,1541278800,77,33,0,6.93
fortuna,38.18,-1.13,1541278800,53.6,76,0,4.7
carolina,18.38,-65.96,1541278560,82.04,74,90,12.75
galgani,,,,,,,
pestretsy,55.75,49.66,1541280600,41,75,75,15.66
varena,54.21,24.57,1541278200,44.6,100,75,8.05
kuching,1.56,110.34,1541278800,77,100,75,2.24
ovsyanka,53.58,126.91,1541281275,11.57,50,0,5.28
zhovtneve,,,,,,,
narimanov,46.69,47.85,1541280600,33.8,86,0,6.71
sulangan,11.14,123.72,1541281276,82.76,100,64,15.64
beringovskiy,63.05,179.32,1541281276,30.56,100,88,9.6
comodoro rivadavia,-45.87,-67.48,1541278800,68,30,75,21.92
sosenskiy,54.06,35.96,1541281277,46.18,97,92,10.09
westlock,54.15,-113.85,1541278800,41,75,20,4.7
sadiqabad,28.31,70.13,1541281277,59.77,46,0,6.02
jumla,29.28,82.18,1541281278,26.69,100,92,1.54
ust-kuyga,70,135.55,1541281278,-24.21,35,12,2.82
tagusao,9.19,117.81,1541281278,79.66,97,20,5.06
dicabisagan,17.08,122.42,1541281279,76.51,100,88,6.24
malakal,,,,,,,
laje,-13.18,-39.42,1541281279,77.32,65,0,9.93
maniitsoq,65.42,-52.9,1541281280,11.44,100,36,7.29
cidreira,-30.17,-50.22,1541281280,68.14,90,92,10.83
houston,29.76,-95.37,1541276100,77,47,75,8.05
kondinskoye,59.65,67.41,1541281280,26.06,96,88,6.35
palmer,61.6,-149.11,1541278560,30.92,77,1,4.72
boende,-0.28,20.88,1541281281,72.73,97,48,1.21
hovd,63.83,10.7,1541278200,44.6,75,75,16.11
roald,62.58,6.12,1541278200,53.6,71,75,9.17
doctor pedro p. pena,,,,,,,
fairbanks,64.84,-147.72,1541278680,14,84,1,4.05
ravar,31.27,56.81,1541281282,29.35,75,8,2.37
coracora,-15.02,-73.78,1541281283,58.01,33,0,4.72
dianopolis,,,,,,,
paamiut,61.99,-49.67,1541281283,31.33,100,24,11.77
bubaque,11.28,-15.83,1541278800,84.2,66,0,1.12
astana,51.13,71.43,1541280600,32,84,90,3
kroya,-6.5,108.06,1541281284,70.61,94,32,3.6
kurayoshi,35.43,133.83,1541278800,44.6,87,40,4.7
mount isa,-20.73,139.49,1541278800,84.2,21,0,2.24
komsomolskiy,67.55,63.78,1541281284,21.29,95,68,4.83
gao,16.28,-0.04,1541281285,76.87,27,0,5.06
caravelas,-17.73,-39.27,1541281285,78.22,100,0,16.46
wanning,48.64,13.53,1541278200,51.8,87,75,4.7
falealupo,,,,,,,
jiayuguan,39.77,98.29,1541281286,14.36,61,36,2.1
vardo,39.62,-77.74,1541278800,55.4,41,40,20.8
wuppertal,51.26,7.18,1541278200,35.6,93,0,2.24
port-cartier,50.03,-66.88,1541278800,35.6,93,90,13.87
inhambane,-23.87,35.38,1541281287,66.52,100,0,10.16
talipparamba,,,,,,,
isangel,-19.55,169.27,1541281290,74.84,100,64,19.15
berlevag,70.86,29.09,1541281148,34.07,100,92,5.01
batagay-alyta,67.8,130.41,1541281291,-24.66,34,32,3.49
harper,30.3,-99.24,1541280900,75.92,57,40,14.99
murud,,,,,,,
ostersund,63.18,14.64,1541278200,37.4,74,48,12.75
san policarpo,12.18,125.51,1541281292,78.62,100,88,6.06
marawi,8,124.29,1541281293,67.82,97,32,2.33
teknaf,20.86,92.31,1541281293,68.77,98,0,2.77
toguchin,55.24,84.4,1541281293,17.38,88,56,10.27
zhezkazgan,47.8,67.71,1541281294,27.91,96,80,3.27
longyearbyen,78.22,15.63,1541278200,26.6,68,20,27.51
sola,58.89,5.65,1541278200,51.8,81,75,21.92
la reforma,14.8,-91.82,1541278800,89.6,59,75,6.93
ivanivka,46.98,30.46,1541280780,46.4,100,90,2.24
olden,61.84,6.81,1541281296,37.09,91,88,3.33
dunmore town,25.5,-76.65,1541281296,82.67,98,92,5.39
vao,59.1,26.19,1541281297,41.86,95,0,8.3
poopo,-18.38,-66.97,1541281297,68.81,38,0,4.27
aksarka,66.56,67.8,1541281297,14.72,72,64,3.83
avera,33.19,-82.53,1541279700,66.2,36,1,3.36
dromolaxia,34.88,33.59,1541278800,68,52,0,8.05
moron,10.49,-68.2,1541278800,84.2,62,75,3.22
maraa,-1.83,-65.37,1541281299,85.91,76,24,3.22
havelock,34.88,-76.9,1541278680,66.02,38,1,5.82
warqla,,,,,,,
gatesville,31.44,-97.74,1541280900,77,41,1,19.46
sur,22.57,59.53,1541281300,76.82,100,0,14.67
ilam,33.64,46.42,1541278800,55.4,43,75,4.7
puerto escondido,15.86,-97.07,1541277600,87.8,70,40,6.93
uhlove,44.82,33.6,1541281301,47.53,100,0,5.12
kurchum,48.57,83.65,1541281301,25.39,100,88,4.23
the pas,53.82,-101.24,1541278800,28.4,79,90,8.05
alta floresta,-9.87,-56.08,1541281302,79.12,92,12,0.58
san vicente,13.64,-88.78,1541278200,87.8,70,20,6.93
aitape,-3.15,142.36,1541281303,78.89,100,48,6.06
novikovo,45.05,34.56,1541281303,36.46,100,0,2.89
faya,18.39,42.45,1541278800,57.2,82,40,4.7
marau,-28.45,-52.2,1541281304,64.09,96,68,6.4
severomuysk,56.17,113.57,1541281304,-19.26,47,24,1.77
sretensk,52.24,117.7,1541281304,-2.7,69,0,2.59
port hedland,-20.31,118.58,1541278800,75.2,78,0,11.41
eluru,16.71,81.12,1541281305,71.56,91,20,2.82
noumea,-22.28,166.46,1541278800,77,44,0,2.24
belle fourche,44.67,-103.85,1541280900,33.8,83,75,6.93
barra do garcas,-15.89,-52.26,1541281306,78.67,83,88,4
san pedro,-33.68,-59.66,1541281307,77.27,55,0,7.58
gweta,-20.21,25.26,1541281307,77.27,39,0,18.59
krasnoyarsk-45,,,,,,,
osakarovka,50.56,72.58,1541281308,22.96,86,80,3.04
port augusta,-32.49,137.76,1541278800,62.6,72,32,5.82
tual,-5.67,132.75,1541281308,79.52,100,76,11.27
tabas,33.6,56.92,1541278800,44.6,26,0,4.7
meadow lake,54.13,-108.44,1541278800,33.8,86,90,10.29
hauterive,46.09,3.45,1541278800,46.4,87,90,3.36
thunder bay,48.41,-89.26,1541278800,39.2,64,75,6.93
krasnoselkup,,,,,,,
bureya,49.81,129.81,1541281310,16.34,67,0,7.29
santa cruz,36.97,-122.03,1541281620,82.4,24,40,14.99
prince rupert,54.32,-130.32,1541278800,50,93,90,11.41
hihifo,,,,,,,
ketchikan,55.34,-131.65,1541279460,51.8,87,90,4.7
darhan,49.49,105.92,1541281316,7.75,61,0,6.58
la ronge,55.1,-105.3,1541278800,32,80,90,13.87
luena,-11.78,19.91,1541281316,66.79,87,76,2.59
bambous virieux,-20.34,57.76,1541278800,71.6,83,20,4.7
egvekinot,66.32,-179.17,1541281317,27.19,92,80,5.39
rehoboth,-23.31,17.08,1541281317,63.28,51,20,7.92
viedma,-40.81,-62.99,1541281318,73,51,12,7.85
kuah,,,,,,,
kishtwar,33.31,75.77,1541281319,28.9,84,92,1.88
tuni,-16.67,-68.14,1541278800,55.4,50,75,10.29
samarai,-10.62,150.67,1541281319,77.54,100,88,11.77
ascope,-7.71,-79.11,1541278800,68,82,20,10.29
nyirbogdany,48.06,21.88,1541281320,55.99,88,56,2.71
brae,60.4,-1.35,1541278200,53.6,93,68,27.51
sakakah,,,,,,,
cozumel,,,,,,,
kwidzyn,53.73,18.93,1541281321,36.59,88,0,2.55
amahai,-3.31,129,1541281322,78.26,100,76,2.26
mergui,,,,,,,
yalvac,38.3,31.18,1541281322,35.06,89,0,3.22
suez,29.97,32.54,1541281322,59.36,68,0,4.9
fukue,35.03,136.69,1541278800,55.4,87,75,13.87
doba,8.66,16.85,1541281323,77.86,76,24,2.26
nantucket,41.28,-70.1,1541279700,57.92,64,40,32.21
henties bay,-22.12,14.28,1541281324,59.41,100,12,4.38
kandrian,-6.21,149.55,1541281324,77.72,94,36,3.89
laguna,27.52,-110.01,1541277960,89.6,24,40,11.41
siedlce,52.17,22.28,1541281325,47.53,97,76,9.26
svetlaya,46.54,138.33,1541281325,49.64,96,44,9.64
grafton,-29.69,152.93,1541281325,71.65,83,0,3.78
neiafu,-18.65,-173.98,1541278800,77,50,75,8.05
sonson,5.71,-75.31,1541278800,68,93,75,3.36
teneguiban,,,,,,,
bogande,12.97,-0.14,1541281327,78.17,34,8,6.91
genhe,50.78,121.52,1541281327,-1.62,64,0,2.77
sibolga,1.74,98.78,1541281327,68.09,100,36,2.04
oistins,13.07,-59.53,1541278800,82.4,78,40,17.22
grindavik,63.84,-22.43,1541280600,33.8,100,20,26.4
vondrozo,-22.82,47.32,1541281328,65.39,99,80,4.34
boljevac,43.83,21.96,1541278800,50,81,0,3.36
nanakuli,21.39,-158.15,1541278620,82.94,60,20,10.29
lasa,34.92,32.53,1541278800,66.2,55,0,8.05
murdochville,48.96,-65.49,1541281330,39.29,97,92,10.6
inirida,3.87,-67.92,1541281330,82.67,74,36,1.7
kalmunai,7.42,81.82,1541281331,70.97,100,32,3.38
ganj muradabad,26.97,80.18,1541281331,76.78,47,64,3.6
isla mujeres,21.23,-86.73,1541278020,80.6,78,75,5.82
mount gambier,-37.83,140.78,1541281332,56.21,77,76,5.5
yerbogachen,61.28,108.01,1541281332,19.99,76,76,8.41
linjiang,41.81,126.91,1541281333,25.34,68,56,2.82
constitucion,23.99,-104.67,1541277720,75.2,10,5,9.17
chivay,-15.64,-71.6,1541281333,54.28,23,24,8.41
vanavara,60.35,102.28,1541281333,22.01,78,76,8.14
teya,21.05,-89.07,1541278140,84.2,70,75,8.05
kebumen,-7.67,109.65,1541281334,73,100,88,2.21
ngunguru,-35.62,174.5,1541281334,63.32,92,64,16.69
altay,47.83,88.13,1541281335,-1.89,58,68,2.04
chilca,-13.22,-72.34,1541280600,55.4,58,75,8.05
bud,62.91,6.91,1541278200,53.6,81,64,13.87
chaoyang,41.58,120.44,1541281336,41.14,63,48,12.1
timizart,36.8,4.25,1541281336,51.13,100,92,2.1
corsicana,32.09,-96.46,1541280900,75.02,53,1,21.92
waingapu,-9.65,120.26,1541281337,73,99,48,3.33
half moon bay,37.46,-122.43,1541281620,86,24,40,14.99
pyshma,56.95,63.25,1541281338,27.37,91,56,9.04
kuva,,,,,,,
oyama,36.31,139.8,1541278800,48.2,100,75,1.12
betsiamites,48.94,-68.65,1541279340,37.4,93,90,26.4
